Dataset,File,date,processing_timestamp,Units,HCHO_Mean (molecules/cm²),HCHO_Min (molecules/cm²),HCHO_Max (molecules/cm²),HCHO_Mean (DU),HCHO_Min (DU),HCHO_Max (DU),Min_Lat,Min_Lon,Max_Lat,Max_Lon
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0801_v003-2025m0802t073130.nc,8/1/2025,8/2/2025,molecules/cm²,2.673E+15,-9.91E+18,1.40E+18,0.1,-368.49,52.12,47.85,70.57,35.05,1.06
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0731_v003-2025m0801t063054.nc,7/31/2025,8/1/2025,molecules/cm²,2.383E+15,-9.89E+18,1.41E+18,0.09,-367.5,52.35,46.25,-116.25,29.25,86.67
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0730_v003-2025m0731t075819.nc,7/30/2025,7/31/2025,molecules/cm²,3.026E+15,-9.95E+18,1.01E+18,0.11,-369.98,37.46,32.95,-79.74,37.05,118.97
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0729_v003-2025m0730t065246.nc,7/29/2025,7/30/2025,molecules/cm²,2.786E+15,-9.93E+18,7.09E+18,0.1,-369.2,263.49,39.55,-120.15,7.25,32.06
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0728_v003-2025m0729t074949.nc,7/28/2025,7/29/2025,molecules/cm²,1.165E+15,-9.99E+18,1.15E+18,0.04,-371.3,42.67,39.45,36.56,41.35,-84.74
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0727_v003-2025m0728t074353.nc,7/27/2025,7/28/2025,molecules/cm²,1.837E+15,-9.96E+18,6.01E+18,0.07,-370.38,223.25,43.85,119.27,24.25,-76.24
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0726_v003-2025m0727t063640.nc,7/26/2025,7/27/2025,molecules/cm²,2.17E+15,-9.87E+18,1.25E+18,0.08,-366.78,46.31,47.55,-116.55,13.05,-7.44
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0725_v003-2025m0726t073728.nc,7/25/2025,7/26/2025,molecules/cm²,1.898E+15,-9.92E+18,7.24E+18,0.07,-368.71,269.17,16.25,-2.04,26.75,90.67
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0724_v003-2025m0725t062841.nc,7/24/2025,7/25/2025,molecules/cm²,1.156E+15,-9.85E+18,8.55E+18,0.04,-366.05,317.79,40.45,-118.45,11.35,69.97
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0723_v003-2025m0724t072509.nc,7/23/2025,7/24/2025,molecules/cm²,1.876E+15,-9.98E+18,7.93E+18,0.07,-371,294.72,37.65,87.07,23.35,-85.54
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0722_v003-2025m0723t071620.nc,7/22/2025,7/23/2025,molecules/cm²,2.174E+15,-9.91E+18,6.12E+18,0.08,-368.39,227.64,38.25,100.47,46.45,135.97
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0721_v003-2025m0722t061705.nc,7/21/2025,7/22/2025,molecules/cm²,1.559E+15,-9.89E+18,1.15E+18,0.06,-367.57,42.74,-4.85,145.27,45.05,81.97
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0720_v003-2025m0721t072235.nc,7/20/2025,7/21/2025,molecules/cm²,1.315E+15,-9.93E+18,7.21E+18,0.05,-369.24,268.17,23.85,99.27,18.35,-103.55
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0719_v003-2025m0720t062434.nc,7/19/2025,7/20/2025,molecules/cm²,1.252E+15,-9.98E+18,3.55E+18,0.05,-371.17,131.98,60.55,138.57,18.35,-78.14
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0718_v003-2025m0719t072310.nc,7/18/2025,7/19/2025,molecules/cm²,1.408E+15,-9.80E+18,2.29E+18,0.05,-364.36,84.98,42.05,-111.05,17.25,-54.64
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0717_v003-2025m0718t070639.nc,7/17/2025,7/18/2025,molecules/cm²,1.014E+15,-9.97E+18,1.23E+18,0.04,-370.72,45.73,10.05,9.66,47.65,169.87
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0716_v003-2025m0717t061837.nc,7/16/2025,7/17/2025,molecules/cm²,1.975E+15,-9.90E+18,8.73E+18,0.07,-368.16,324.59,35.95,83.97,8.15,-53.44
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0715_v003-2025m0716t071604.nc,7/15/2025,7/16/2025,molecules/cm²,598700000000000,-9.98E+18,1.58E+18,0.02,-370.84,58.81,13.35,-119.85,59.85,33.56
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0714_v003-2025m0715t061515.nc,7/14/2025,7/15/2025,molecules/cm²,1.965E+15,-9.82E+18,8.33E+18,0.07,-365.13,309.79,36.65,4.66,4.35,-170.75
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0713_v003-2025m0714t081314.nc,7/13/2025,7/14/2025,molecules/cm²,1.44E+15,-9.99E+18,6.84E+18,0.05,-371.44,254.27,-4.55,77.47,2.55,-64.54
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0712_v003-2025m0713t072208.nc,7/12/2025,7/13/2025,molecules/cm²,2.028E+15,-1.00E+19,7.02E+18,0.08,-371.71,261.13,67.75,74.17,32.55,96.37
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0711_v003-2025m0712t063111.nc,7/11/2025,7/12/2025,molecules/cm²,2.026E+15,-9.96E+18,6.76E+18,0.08,-370.27,251.15,-3.45,146.27,-5.65,143.07
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0710_v003-2025m0711t073514.nc,7/10/2025,7/11/2025,molecules/cm²,838300000000000,-9.95E+18,6.53E+18,0.03,-370,242.59,41.05,70.97,30.85,-8.14
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0709_v003-2025m0710t062737.nc,7/9/2025,7/10/2025,molecules/cm²,1.523E+15,-9.96E+18,7.47E+18,0.06,-370.15,277.63,50.65,100.07,33.15,101.17
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0708_v003-2025m0709t072804.nc,7/8/2025,7/9/2025,molecules/cm²,2.055E+15,-9.94E+18,7.25E+18,0.08,-369.54,269.45,-2.85,99.77,29.45,86.07
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0707_v003-2025m0708t063347.nc,7/7/2025,7/8/2025,molecules/cm²,791900000000000,-9.67E+18,6.20E+18,0.03,-359.55,230.35,-1.95,112.07,36.45,-104.95
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0706_v003-2025m0707t062302.nc,7/6/2025,7/7/2025,molecules/cm²,1.424E+15,-9.89E+18,3.83E+17,0.05,-367.68,14.23,3.65,-54.24,-23.75,-65.54
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0705_v003-2025m0706t072006.nc,7/5/2025,7/6/2025,molecules/cm²,1.822E+15,-9.75E+18,6.55E+18,0.07,-362.27,243.34,55.05,129.37,44.25,11.36
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0704_v003-2025m0709t005938.nc,7/4/2025,7/9/2025,molecules/cm²,721500000000000,-9.97E+18,2.04E+17,0.03,-370.69,7.6,4.65,-59.34,-33.55,-67.44
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0703_v003-2025m0704t071912.nc,7/3/2025,7/4/2025,molecules/cm²,742000000000000,-9.98E+18,8.52E+17,0.03,-370.97,31.68,43.85,114.97,-16.55,30.46
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0702_v003-2025m0703t072459.nc,7/2/2025,7/3/2025,molecules/cm²,1.128E+15,-9.83E+18,9.10E+18,0.04,-365.33,338.31,58.05,87.57,16.65,1.26
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0701_v003-2025m0702t062718.nc,7/1/2025,7/2/2025,molecules/cm²,1.097E+15,-9.90E+18,8.80E+18,0.04,-367.83,327.28,34.45,-111.45,7.45,13.66
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0630_v003-2025m0701t072457.nc,6/30/2025,7/1/2025,molecules/cm²,539100000000000,-1.00E+19,2.09E+17,0.02,-371.72,7.78,15.35,49.96,-27.15,-54.24
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0629_v003-2025m0630t062510.nc,6/29/2025,6/30/2025,molecules/cm²,521000000000000,-9.75E+18,3.12E+17,0.02,-362.46,11.61,8.95,38.46,29.35,116.57
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0628_v003-2025m0629t092114.nc,6/28/2025,6/29/2025,molecules/cm²,-86020000000000,-9.98E+18,9.24E+18,0,-371.16,343.39,46.25,137.97,7.45,-54.54
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0627_v003-2025m0628t071948.nc,6/27/2025,6/28/2025,molecules/cm²,1.915E+15,-9.87E+18,2.32E+17,0.07,-366.85,8.63,3.85,32.26,-24.85,-73.74
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0626_v003-2025m0627t062007.nc,6/26/2025,6/27/2025,molecules/cm²,2.292E+15,-9.99E+18,6.69E+18,0.09,-371.3,248.81,28.55,88.37,37.45,97.47
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0625_v003-2025m0626t072603.nc,6/25/2025,6/26/2025,molecules/cm²,861600000000000,-9.90E+18,9.78E+17,0.03,-367.86,36.35,45.95,114.87,44.05,69.67
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0624_v003-2025m0625t061704.nc,6/24/2025,6/25/2025,molecules/cm²,1.51E+15,-9.93E+18,5.34E+17,0.06,-369.1,19.84,46.45,29.46,-7.25,-167.95
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0623_v003-2025m0624t072327.nc,6/23/2025,6/24/2025,molecules/cm²,995700000000000,-9.98E+18,8.63E+18,0.04,-371.01,320.61,34.75,-104.95,4.85,20.46
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0622_v003-2025m0623t071703.nc,6/22/2025,6/23/2025,molecules/cm²,2.094E+15,-9.96E+18,4.80E+18,0.08,-370.39,178.49,4.45,35.16,1.95,104.97
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0621_v003-2025m0622t082106.nc,6/21/2025,6/22/2025,molecules/cm²,2.415E+15,-9.80E+18,3.01E+17,0.09,-364.29,11.19,41.65,-113.65,-27.75,-63.24
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0620_v003-2025m0621t071815.nc,6/20/2025,6/21/2025,molecules/cm²,928100000000000,-9.95E+18,4.11E+17,0.03,-369.92,15.26,14.25,3.56,-26.65,-53.54
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0619_v003-2025m0620t061900.nc,6/19/2025,6/20/2025,molecules/cm²,1.21E+15,-9.95E+18,9.03E+18,0.04,-369.75,335.62,28.45,85.77,43.45,-6.74
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0618_v003-2025m0619t072128.nc,6/18/2025,6/19/2025,molecules/cm²,1.201E+15,-9.92E+18,9.11E+18,0.04,-368.88,338.55,-2.05,26.36,8.95,169.37
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0617_v003-2025m0618t071836.nc,6/17/2025,6/18/2025,molecules/cm²,650500000000000,-9.86E+18,5.88E+18,0.02,-366.48,218.7,17.35,-64.14,33.45,98.07
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0616_v003-2025m0617t072328.nc,6/16/2025,6/17/2025,molecules/cm²,1.395E+15,-1.00E+19,7.03E+18,0.05,-371.55,261.15,44.05,-113.95,34.65,83.27
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0615_v003-2025m0616t071709.nc,6/15/2025,6/16/2025,molecules/cm²,1.067E+15,-9.82E+18,7.84E+17,0.04,-364.96,29.13,47.95,-107.55,4.25,-149.15
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0614_v003-2025m0615t061452.nc,6/14/2025,6/15/2025,molecules/cm²,862700000000000,-9.95E+18,9.02E+18,0.03,-370.01,335.29,57.55,68.37,38.55,-103.95
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0613_v003-2025m0614t072308.nc,6/13/2025,6/14/2025,molecules/cm²,415700000000000,-9.69E+18,9.95E+18,0.02,-360.14,369.75,29.25,93.27,-13.15,-72.94
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0612_v003-2025m0613t065208.nc,6/12/2025,6/13/2025,molecules/cm²,1.921E+15,-9.60E+18,9.06E+18,0.07,-356.8,336.85,35.35,49.86,-4.85,139.67
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0611_v003-2025m0612t072202.nc,6/11/2025,6/12/2025,molecules/cm²,875200000000000,-9.82E+18,7.48E+18,0.03,-365.21,278.2,37.45,89.27,0.75,140.77
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0610_v003-2025m0611t071952.nc,6/10/2025,6/11/2025,molecules/cm²,683200000000000,-9.92E+18,8.73E+18,0.03,-368.65,324.68,36.55,-3.24,22.15,-27.44
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0609_v003-2025m0610t061837.nc,6/9/2025,6/10/2025,molecules/cm²,2.315E+15,-9.92E+18,2.20E+18,0.09,-368.77,81.93,35.45,94.97,45.65,129.57
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0608_v003-2025m0609t152744.nc,6/8/2025,6/9/2025,molecules/cm²,1.156E+15,-9.90E+18,9.24E+18,0.04,-367.97,343.42,43.25,-6.04,5.65,177.27
