Dataset,File,date,processing_timestamp,Units,HCHO_Mean (molecules/cm²),HCHO_Min (molecules/cm²),HCHO_Max (molecules/cm²),HCHO_Mean (DU),HCHO_Min (DU),HCHO_Max (DU),Min_Lat,Min_Lon,Max_Lat,Max_Lon,HCHO_7day_MA
OMI-Aura,OMI-Aura_L3-OMHCHOd_2004m1001_v003-2019m0725t193741.nc,2004-10-01,7/25/2019,molecules/cm²,3361000000000000.0,-1.63e+18,1.87e+17,0.12,-60.75,6.93,-11.75,-76.14,30.15,86.27,
OMI-Aura,OMI-Aura_L3-OMHCHOd_2004m1002_v003-2019m0725t194204.nc,2004-10-02,7/25/2019,molecules/cm²,3307000000000000.0,-5.28e+17,1.34e+17,0.12,-19.64,4.99,10.95,-73.64,-16.05,-68.34,
OMI-Aura,OMI-Aura_L3-OMHCHOd_2004m1003_v003-2019m0725t193929.nc,2004-10-03,7/25/2019,molecules/cm²,3474000000000000.0,-8.47e+17,2.21e+17,0.13,-31.48,8.23,-14.95,-72.84,-14.85,-73.64,
OMI-Aura,OMI-Aura_L3-OMHCHOd_2004m1004_v003-2019m0725t194624.nc,2004-10-04,7/25/2019,molecules/cm²,3345000000000000.0,-2.01e+17,2.07e+17,0.12,-7.47,7.69,-11.45,-35.94,-23.05,-62.24,
OMI-Aura,OMI-Aura_L3-OMHCHOd_2004m1005_v003-2019m0725t194148.nc,2004-10-05,7/25/2019,molecules/cm²,3315000000000000.0,-2.08e+18,1.78e+17,0.12,-77.43,6.62,-23.85,-66.24,-19.85,-66.14,
OMI-Aura,OMI-Aura_L3-OMHCHOd_2004m1006_v003-2019m0725t193505.nc,2004-10-06,7/25/2019,molecules/cm²,2684000000000000.0,-1.29e+18,2.32e+18,0.1,-48.05,86.19,9.65,132.47,9.45,131.57,
OMI-Aura,OMI-Aura_L3-OMHCHOd_2004m1007_v003-2019m0725t193901.nc,2004-10-07,7/25/2019,molecules/cm²,3141000000000000.0,-1.58e+17,4.41e+17,0.12,-5.86,16.39,-18.35,-66.24,-17.05,-66.24,0.11857142857142856
OMI-Aura,OMI-Aura_L3-OMHCHOd_2004m1008_v003-2019m0725t193729.nc,2004-10-08,7/25/2019,molecules/cm²,3272000000000000.0,-3.04e+17,2.43e+17,0.12,-11.3,9.03,30.45,89.07,-0.35,37.46,0.11857142857142856
OMI-Aura,OMI-Aura_L3-OMHCHOd_2004m1009_v003-2019m0725t193939.nc,2004-10-09,7/25/2019,molecules/cm²,3265000000000000.0,-6.47e+17,1.29e+17,0.12,-24.06,4.81,-15.75,-69.64,31.55,102.27,0.11857142857142856
OMI-Aura,OMI-Aura_L3-OMHCHOd_2004m1010_v003-2019m0725t194545.nc,2004-10-10,7/25/2019,molecules/cm²,3155000000000000.0,-3.9e+17,1.35e+17,0.12,-14.49,5.01,9.65,13.16,-10.25,-77.14,0.11714285714285713
